// _________
// \_   ___ \_______  ____   ____  __ __  ______
// /    \  \/\_  __ \/  _ \ /    \|  |  \/  ___/
// \     \____|  | \(  <_> )   |  \  |  /\___ \
//  \______  /|__|   \____/|___|  /____//____  >
//         \/                   \/           \/
//----------------------------------------------------
// 1.0 Traduzido [Vianna]
// 1.1 Atualizado - Renovação [Vianna e ItachiSan]
// 1.2 Bases do HP e SP das 3rd [ItachiSan]
// 1.3 ASPD de todas as classes atualizados [GreenBox]
//----------------------------------------------------

// Database de valores específicos para cada classe
//
// Estrutura da Database:
// ClasseID,FatorPeso,FatorHP,MultiplicadorHP,BaseHP1,BaseHP2,FatorHP2,FatorSP,BaseSP,Escudo,Soco,Adagas,Espadas(1M),Espadas(2M),Lanças(1M),Lanças(2M),Machados(1M),Machados(2M),Maças(1M),Maças(2M),Cajados(1M),Arcos,Soqueiras,Instrumentos,Chicotes,Livros,Katares,Revólveres,Rifles,Espingardas,MetralhadorasGatling,Lança-Granadas,ShurikensHuuma,Cajados(2M)
//
// Aprendiz
4014, 28000,150,500,0,0,0,300,0,50,440,530,490,560,590,690,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Paladino
4015, 28000,110,700,0,0,0,470,0,50,440,520,470,590,570,560,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mestre
4016, 26000,90,650,0,0,0,470,0,50,440,2000,2000,2000,2000,2000,2000,2000,470,2000,640,2000,440,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,620
// Professor
4017, 24000,75,500,0,0,0,700,0,100,490,570,2000,2000,2000,2000,2000,2000,2000,2000,590,2000,2000,2000,2000,470,2000,2000,2000,2000,2000,2000,2000,590
// Desordeiro
4018, 24000,85,500,0,0,0,500,0,50,440,490,540,2000,2000,2000,2030,2000,2000,2000,2000,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Criador
4019, 30000,90,500,0,0,0,400,0,40,440,540,490,2000,2000,2000,490,560,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Menestrel
4020, 27000,75,300,0,0,0,600,0,70,440,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,520,2000,490,490,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Cigana
4021, 27000,75,300,0,0,0,600,0,70,440,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,520,2000,490,490,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Paladino (Peco)
4022, 28000,110,700,0,0,0,470,0,50,440,520,470,590,570,560,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000

// Mini Aprendiz
4023, 20000,0,500,0,0,0,100,0,100,440,590,610,2000,2000,2000,540,2000,540,2000,690,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Espadachim
4024, 28000,70,500,0,0,0,200,0,50,440,510,510,580,610,690,590,640,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Mago
4025, 22000,30,500,0,0,0,600,0,100,540,540,2000,2000,2000,2000,2000,2000,2000,2000,590,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,590
// Mini Arqueiro
4026, 26000,50,500,0,0,0,200,0,90,440,590,2000,2000,2000,2000,2000,2000,2000,2000,2000,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Noviço
4027, 24000,40,500,0,0,0,500,0,70,440,2000,2000,2000,2000,2000,2000,2000,490,2000,640,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Mercador
4028, 28000,40,500,0,0,0,300,0,50,440,560,560,2000,2000,2000,520,590,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Gatuno
4029, 24000,50,500,0,0,0,200,0,60,440,520,540,2000,2000,2000,640,2000,2000,2000,2000,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Cavaleiro
4030, 28000,150,500,0,0,0,300,0,50,440,530,490,560,590,690,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Sacerdote
4031, 26000,75,500,0,0,0,800,0,50,440,2000,2000,2000,2000,2000,2000,2000,470,2000,640,2000,640,2000,2000,480,2000,2000,2000,2000,2000,2000,2000,640
// Mini Bruxo
4032, 24000,55,500,0,0,0,900,0,80,540,580,2000,2000,2000,2000,2000,2000,2000,2000,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,570
// Mini Ferreiro
4033, 30000,90,500,0,0,0,400,0,50,440,540,540,2000,2000,2000,500,570,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Caçador
4034, 27000,85,500,0,0,0,400,0,90,440,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Mercenário
4035, 24000,110,500,0,0,0,400,0,60,440,460,540,2000,2000,2000,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,460,2000,2000,2000,2000,2000,2000,2000
// Mini Cavaleiro (Peco)
4036, 28000,150,500,0,0,0,300,0,50,440,530,490,560,590,690,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Templário
4037, 28000,110,700,0,0,0,470,0,50,440,520,470,590,570,560,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Monge
4038, 26000,90,650,0,0,0,470,0,50,440,2000,2000,2000,2000,2000,2000,2000,470,2000,640,2000,440,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,620
// Mini Sábio
4039, 24000,75,500,0,0,0,700,0,100,490,570,2000,2000,2000,2000,2000,2000,2000,2000,590,2000,2000,2000,2000,470,2000,2000,2000,2000,2000,2000,2000,590
// Mini Arruaceiro
4040, 24000,85,500,0,0,0,500,0,50,440,490,540,2000,2000,2000,2030,2000,2000,2000,2000,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Alquimista
4041, 30000,90,500,0,0,0,400,0,40,440,540,490,2000,2000,2000,490,560,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Bardo
4042, 27000,75,300,0,0,0,600,0,70,440,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,520,2000,490,490,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Odalisca
4043, 27000,75,300,0,0,0,600,0,70,440,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,520,2000,490,490,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Templário (Peco)
4044, 28000,110,700,0,0,0,470,0,50,440,520,470,590,570,560,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mini Super Aprendiz
4045, 20000,0,500,0,0,0,100,0,100,440,590,610,2000,2000,2000,540,2000,540,2000,690,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Taekwon
4046, 28000,70,500,0,0,0,200,0,60,440,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Star Cavaleiro
4047, 28000,90,650,0,0,0,470 ,0,60,440,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,540,2000,2000,2000,2000,2000,2000,2000,2000
// Star Cavaleiro (flying)
4048, 28000,90,650,0,0,0,470,0,60,440,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,540,2000,2000,2000,2000,2000,2000,2000,2000
// Espiritualista
4049, 24000,75,500,0,0,0,900,0,80,540,540,2000,2000,2000,2000,2000,2000,2000,2000,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,570

// Rune Cavaleiro (Base 2nd to 3rd)
4054, 28000,155,1500,8290,8133,2000,3,310,50,440,540,560,590,520,560,620,640,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Arcano (Base 2nd to 3rd)
4055, 24000,58,550,3200,3313,1950,9,910,50,490,560,2000,2000,2000,2000,2000,2000,2000,2000,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,540
// Sentinela (Base 2nd to 3rd)
4056, 27000,89,924,4800,4828,1310,4,410,80,440,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,530,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Arcebispo (Base 2nd to 3rd)
4057, 26000,79,0,4300,4333,0,8,810,50,490,2000,2000,2000,2000,2000,2000,2000,490,2000,640,2000,540,2000,2000,480,2000,2000,2000,2000,2000,2000,2000,590
// Mecânico (Base 2nd to 3rd)
4058, 30000,93,900,5050,5082,1700,4,410,60,440,640,690,2000,2000,2000,490,520,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Guillotine Cross(Base 2nd to 3rd)
4059, 24000,114,1100,6500,6093,1400,4,410,90,440,460,690,2000,2000,2000,840,2000,2000,2000,2000,2000,2000,2000,2000,2000,460,2000,2000,2000,2000,2000,2000,2000
// Rune Cavaleiro (Trans 2nd to 3rd)
4060, 28000,155,1500,8290,8133,2000,3,310,50,440,540,560,590,520,560,620,640,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Arcano (Trans 2nd to 3rd)
4061, 24000,58,550,3200,3313,1950,9,910,50,490,560,2000,2000,2000,2000,2000,2000,2000,2000,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,540
// Sentinela (Trans 2nd to 3rd)
4062, 27000,89,924,4800,4828,1310,4,410,80,440,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,530,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Arcebispo (Trans 2nd to 3rd)
4063, 26000,79,0,4300,4333,0,8,810,50,490,2000,2000,2000,2000,2000,2000,2000,490,2000,640,2000,540,2000,2000,480,2000,2000,2000,2000,2000,2000,2000,590
// Mecânico (Trans 2nd to 3rd)
4064, 30000,93,900,5050,5082,1700,4,410,60,440,640,690,2000,2000,2000,490,520,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Guillotine Cross(Trans 2nd to 3rd)
4065, 24000,114,1100,6500,6093,1400,4,410,90,440,460,690,2000,2000,2000,840,2000,2000,2000,2000,2000,2000,2000,2000,2000,460,2000,2000,2000,2000,2000,2000,2000
// Guardião Real (Base 2nd to 3rd)
4066, 28000,114,1100,6500,6093,1400,4,410,50,440,510,490,530,540,540,520,560,480,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Feiticeiro (Base 2nd to 3rd)
4067, 24000,89,924,4800,4828,1310,9,910,50,440,540,2000,2000,2000,2000,2000,2000,2000,2000,490,2000,2000,2000,2000,490,2000,2000,2000,2000,2000,2000,2000,490
// Trovador (Base 2nd to 3rd)
4068, 27000,89,924,4800,4828,1310,4,410,70,440,560,2000,2000,2000,2000,2000,2000,2000,2000,2000,540,2000,490,490,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Musa (Base 2nd to 3rd)
4069, 27000,89,924,4800,4828,1310,4,410,70,440,560,2000,2000,2000,2000,2000,2000,2000,2000,2000,540,2000,490,490,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Shura (Base 2nd to 3rd)
4070, 26000,93,900,5050,5082,1700,4,410,50,420,2000,2000,2000,2000,2000,2000,2000,470,2000,520,2000,430,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,540
// Bioquímico (Base 2nd to 3rd)
4071, 30000,79,0,4300,4333,0,9,910,40,440,540,480,2000,2000,2000,550,550,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Renegado (Base 2nd to 3rd)
4072, 24000,114,1100,6500,6093,1400,4,410,50,440,470,510,2000,2000,2000,2030,2000,2000,2000,2000,510,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Guardião Real (Trans 2nd to 3rd)
4073, 28000,114,1100,6500,6093,1400,4,410,50,440,510,490,530,540,540,520,560,480,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Feiticeiro (Trans 2nd to 3rd)
4074, 24000,89,924,4800,4828,1310,9,910,50,440,540,2000,2000,2000,2000,2000,2000,2000,2000,490,2000,2000,2000,2000,490,2000,2000,2000,2000,2000,2000,2000,490
// Trovador (Trans 2nd to 3rd)
4075, 27000,89,924,4800,4828,1310,4,410,70,440,560,2000,2000,2000,2000,2000,2000,2000,2000,2000,540,2000,490,490,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Musa (Trans 2nd to 3rd)
4076, 27000,89,924,4800,4828,1310,4,410,70,440,560,2000,2000,2000,2000,2000,2000,2000,2000,2000,540,2000,490,490,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Shura (Trans 2nd to 3rd)
4077, 26000,93,900,5050,5082,1700,4,410,50,420,2000,2000,2000,2000,2000,2000,2000,470,2000,520,2000,430,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,540
// Bioquímico (Trans 2nd to 3rd)
4078, 30000,79,0,4300,4333,0,9,910,40,440,540,480,2000,2000,2000,550,550,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Renegado (Trans 2nd to 3rd)
4079, 24000,114,1100,6500,6093,1400,4,410,50,440,470,510,2000,2000,2000,2030,2000,2000,2000,2000,510,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Rune Cavaleiro Mount (Base 2nd to 3rd)
4080, 28000,155,1500,8290,8133,2000,3,310,50,440,540,560,590,520,560,620,640,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Rune Cavaleiro Mount (Trans 2nd to 3rd)
4081, 28000,155,1500,8290,8133,2000,3,310,50,440,540,560,590,520,560,620,640,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Guardião Real Mount (Base 2nd to 3rd)
4082, 28000,114,1100,6500,6093,1400,4,410,50,440,510,490,530,540,540,520,560,480,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Guardião Real Mount (Trans 2nd to 3rd)
4083, 28000,114,1100,6500,6093,1400,4,410,50,440,510,490,530,540,540,520,560,480,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Sentinela Mount (Base 2nd to 3rd)
4084, 27000,89,924,4800,4828,1310,4,410,80,440,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,530,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Sentinela Mount (Trans 2nd to 3rd)
4085, 27000,89,924,4800,4828,1310,4,410,80,440,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,530,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mecânico Mount (Base 2nd to 3rd)
4086, 30000,93,900,5050,5082,1700,4,410,60,440,640,690,2000,2000,2000,490,520,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mecânico Mount (Trans 2nd to 3rd)
4087, 30000,93,900,5050,5082,1700,4,410,60,440,640,690,2000,2000,2000,490,520,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
